,KRT14,KRT5,KRT17,ACTA2,COL17A1,COL4A1,PDGFRA,PDGFRB,APOD,COL1A2,CD45,KRT8,KRT18,KRT19,CD24,CLDN3,KRT15,PECAM1,CLDN5,CD74
Basal,5.676,4.031,6.139,2.482,3.129,0.657,0.232,0,0,0,0,0.848,0,0,0,0,0,0,0,0.207
Fibroblast,0.247,0,0,0.227,0.029,1.986,2.893,2,3.204,0.817,0,0,0,0,0,0,0,0,0,0
Immune,0.181,0.008,0.182,0.062,0,0.029,0.028,0,0.233,0.005,1.686,0.041,0,0.113,0.115,0,0.011,0.166,0.042,1.147
Luminal,0.864,0.363,1.772,0.023,0.022,0,0,0,0,0,0,2.735,2.77,3.628,3.406,1.7,3.429,0,0,0.453
Endothelial,0.242,0,0,0.039,0.072,2.362,0,0,0.727,0,0.002,0,0.71,0,0,0,0,2.615,4.19,1.662
